強化段階, 成功確率, 維持確率, 大失敗確率
0, 95.00%, 5.00%, 0.00%
1, 90.00%, 10.00%, 0.00%
2, 85.00%, 15.00%, 0.00%
3, 85.00%, 15.00%, 0.00%
4, 80.00%, 20.00%, 0.00%
5, 75.00%, 25.00%, 0.00%
6, 70.00%, 30.00%, 0.00%
7, 65.00%, 35.00%, 0.00%
8, 60.00%, 40.00%, 0.00%
9, 55.00%, 45.00%, 0.00%
10, 50.00%, 50.00%, 0.00%
11, 45.00%, 55.00%, 0.00%
12, 40.00%, 60.00%, 0.00%
13, 35.00%, 65.00%, 0.00%
14, 30.00%, 70.00%, 0.00%
15, 30.00%, 67.90%, 2.10%
16, 30.00%, 67.90%, 2.10%
17, 15.00%, 78.20%, 6.80%
18, 15.00%, 78.20%, 6.80%
19, 15.00%, 76.50%, 8.50%
20, 30.00%, 59.50%, 10.50%
21, 15.00%, 72.25%, 12.75%
22, 15.00%, 68.00%, 17.00%
23, 10.00%, 72.00%, 18.00%
24, 10.00%, 72.00%, 18.00%
25, 10.00%, 72.00%, 18.00%
26, 7.00%, 74.40%, 18.60%
27, 5.00%, 76.00%, 19.00%
28, 3.00%, 77.60%, 19.40%
29, 1.00%, 79.20%, 19.80%